"","mature_mirna_id","target_symbol"
"963","hsa-miR-1179","CDK6"
"2057","hsa-miR-1179","LUC7L3"
"2058","hsa-miR-1179","PPP1R12A"
"4259","hsa-miR-1179","BLOC1S2"
"4262","hsa-miR-1179","CAMTA1"
"4264","hsa-miR-1179","CREB1"
"4265","hsa-miR-1179","CREBRF"
"4271","hsa-miR-1179","MORF4L1"
"4272","hsa-miR-1179","MTPN"
"4274","hsa-miR-1179","NR3C1"
"4275","hsa-miR-1179","PLEKHA1"
"4277","hsa-miR-1179","RUNX1"
"4280","hsa-miR-1179","SECISBP2L"
"4282","hsa-miR-1179","SLC2A3"
"4283","hsa-miR-1179","SMURF2"
"4286","hsa-miR-1179","TYW5"
"4287","hsa-miR-1179","WEE1"
"9227","hsa-miR-1179","ALDOA"
"9229","hsa-miR-1179","ANXA4"
"9233","hsa-miR-1179","ATF3"
"9235","hsa-miR-1179","ATP7A"
"9238","hsa-miR-1179","BSDC1"
"9241","hsa-miR-1179","C9orf40"
"9245","hsa-miR-1179","CBX5"
"9247","hsa-miR-1179","CCNJ"
"9251","hsa-miR-1179","CELF1"
"9252","hsa-miR-1179","CELF2"
"9268","hsa-miR-1179","FOXP2"
"9272","hsa-miR-1179","HMGB1"
"9274","hsa-miR-1179","HOXA9"
"9275","hsa-miR-1179","ID2"
"9289","hsa-miR-1179","MAML1"
"9295","hsa-miR-1179","MSL2"
"9300","hsa-miR-1179","NEGR1"
"9311","hsa-miR-1179","PCBP1"
"9313","hsa-miR-1179","PHACTR2"
"9314","hsa-miR-1179","PHOX2B"
"9316","hsa-miR-1179","PIK3C2A"
"9324","hsa-miR-1179","RBBP7"
"9333","hsa-miR-1179","SIX4"
"9334","hsa-miR-1179","SLAIN1"
"9347","hsa-miR-1179","TET2"
"9351","hsa-miR-1179","TMTC3"
"9352","hsa-miR-1179","TOMM20"
"9363","hsa-miR-1179","VPS54"
"9364","hsa-miR-1179","YIPF5"
"9367","hsa-miR-1179","ZNF436"
"22890","hsa-miR-1179","ACTR6"
"22909","hsa-miR-1179","ATP13A3"
"22919","hsa-miR-1179","C12orf76"
"22923","hsa-miR-1179","C6orf62"
"22936","hsa-miR-1179","CCNC"
"22940","hsa-miR-1179","CD2AP"
"22944","hsa-miR-1179","CHD6"
"22945","hsa-miR-1179","CHD9"
"22957","hsa-miR-1179","CREB5"
"22958","hsa-miR-1179","CRK"
"22959","hsa-miR-1179","CTDSPL"
"22973","hsa-miR-1179","DDX17"
"22978","hsa-miR-1179","DICER1"
"22980","hsa-miR-1179","DMPK"
"22981","hsa-miR-1179","DMXL1"
"22985","hsa-miR-1179","DNAJC8"
"22987","hsa-miR-1179","DPH3"
"22990","hsa-miR-1179","EFCAB14"
"22991","hsa-miR-1179","EFNA5"
"23008","hsa-miR-1179","FBXL3"
"23010","hsa-miR-1179","FERMT2"
"23016","hsa-miR-1179","FOXJ3"
"23017","hsa-miR-1179","FOXO3"
"23019","hsa-miR-1179","FUBP3"
"23035","hsa-miR-1179","GRIN2B"
"23039","hsa-miR-1179","HEATR1"
"23040","hsa-miR-1179","HEBP2"
"23041","hsa-miR-1179","HECA"
"23044","hsa-miR-1179","HMGA2"
"23045","hsa-miR-1179","HNRNPH1"
"23051","hsa-miR-1179","IBA57"
"23055","hsa-miR-1179","ING3"
"23062","hsa-miR-1179","JMY"
"23068","hsa-miR-1179","KCTD10"
"23080","hsa-miR-1179","KLHL15"
"23085","hsa-miR-1179","LAMC1"
"23093","hsa-miR-1179","LRRC58"
"23096","hsa-miR-1179","LUZP1"
"23108","hsa-miR-1179","MLEC"
"23116","hsa-miR-1179","MTMR3"
"23119","hsa-miR-1179","MYNN"
"23127","hsa-miR-1179","NFIX"
"23131","hsa-miR-1179","NR4A3"
"23132","hsa-miR-1179","NT5DC3"
"23137","hsa-miR-1179","PABPC4L"
"23140","hsa-miR-1179","PAWR"
"23148","hsa-miR-1179","PCSK1"
"23159","hsa-miR-1179","POLE3"
"23165","hsa-miR-1179","PREX2"
"23166","hsa-miR-1179","PROSER1"
"23173","hsa-miR-1179","PTPRK"
"23180","hsa-miR-1179","RAVER2"
"23183","hsa-miR-1179","RFK"
"23185","hsa-miR-1179","RHOU"
"23192","hsa-miR-1179","RORA"
"23193","hsa-miR-1179","RPA1"
"23200","hsa-miR-1179","SCARB2"
"23206","hsa-miR-1179","SENP6"
"23208","hsa-miR-1179","SEPT8"
"23211","hsa-miR-1179","SETD1B"
"23212","hsa-miR-1179","SETD5"
"23214","hsa-miR-1179","SFT2D1"
